0x8aebac,Person 1,Person 2,Person 3,Person 4,Person 5,Person 6,Person 7,Initial Support Level 1,Initial Support Level 2,Initial Support Level 3,Initial Support Level 4,Initial Support Level 5,Initial Support Level 6,Initial Support Level 7,Support Growth Rate 1,Support Growth Rate 2,Support Growth Rate 3,Support Growth Rate 4,Support Growth Rate 5,Support Growth Rate 6,Support Growth Rate 7,Number of Supported Characters,Separator (Use 0x00),Separator (Use 0x00)
0x88AEBAC Default Eirika,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEBC4 Default Ephraim,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEBDC Default Seth,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEBF4 Default Frantz,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEC0C Default Gilliam,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEC24 Default Moulder,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEC3C Default Vanessa,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEC54 Default Garcia,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEC6C Default Ross,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEC84 Default Colm,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AEC9C Default Neimi,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AECB4 Default Artur,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AECCC Default Lute,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AECE4 Default Natasha,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AECFC Default Joshua,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
0x88AED14 Default Kyle,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0
